major,minor,patch,linearized,count
2014, 261, 2100, 2014.992424, 1
0, 128, 0, 0.984615, 1
0, 1, 676, 0.499631, 1
6, 26, 5, 6.930348, 1
1, 0, 1421928906882, 1.333333, 1
0, 7, 469, 0.799915, 1
1, 201509110004, 1, 2.000000, 1
1, 4, 35, 1.712062, 2
1, 0, 387, 1.332189, 1
1, 201509040004, 1, 2.000000, 1
0, 1, 166, 0.498507, 8
0, 7, 43, 0.799107, 8
0, 13, 14, 0.874016, 10
3, 5, 11, 3.745098, 7
2014, 265, 345, 2014.992537, 1
12, 10, 1, 12.837838, 1
4, 41, 1, 4.953846, 1
15, 0, 6, 15.272727, 1
0, 0, 2015082718, 0.333333, 1
2, 26, 3, 2.930070, 2
1, 201507270956, 1, 2.000000, 1
0, 91, 81, 0.978718, 2
1, 201506221754, 1, 2.000000, 1
2014, 264, 230, 2014.992509, 1
0, 20120408, 2233, 1.000000, 1
1, 1, 36, 1.493333, 15
0, 77, 0, 0.974684, 5
0, 22, 6, 0.919192, 9
6, 57, 2, 6.966387, 1
0, 2, 44, 0.596491, 54
5, 15, 0, 5.882353, 1
0, 8, 20131006, 0.818182, 1
2014, 263, 745, 2014.992481, 1
0, 0, 275, 0.331725, 1
15, 8, 17, 15.816425, 1
0, 1, 719, 0.499653, 1
0, 5, 20130617, 0.750000, 1
0, 26, 16, 0.930769, 1
2014, 105, 4, 2014.981424, 1
1, 4, 70, 1.713147, 1
0, 66, 86, 0.971005, 1
2, 57, 0, 2.966102, 1
1, 0, 46, 1.323944, 50
1, 10, 9, 1.843972, 20
0, 29, 35, 0.937394, 1
0, 3, 22, 0.661972, 120
0, 9, 1, 0.823529, 1675
3, 1, 0, 3.333333, 1220
2014, 265, 1245, 2014.992537, 1
6, 5, 3, 6.736842, 6
0, 7, 460, 0.799913, 1
2015, 1, 14, 2015.483871, 1
1, 0, 1118, 1.332936, 1
1, 17, 3, 1.897959, 11
1, 0, 1201, 1.332964, 1
0, 18, 11, 0.904059, 6
0, 0, 360, 0.332103, 2
0, 1, 874, 0.499714, 1
0, 44, 4, 0.957143, 2
0, 158, 0, 0.987500, 1
6, 24, 2, 6.924528, 2
1, 201507230839, 1, 2.000000, 1
12, 9, 2300, 12.833321, 1
1, 0, 181, 1.330896, 3
0, 1, 364, 0.499316, 3
1, 12, 29, 1.866091, 4
0, 3, 189, 0.666084, 2
0, 9, 156, 0.833157, 1
0, 15, 21, 0.888350, 2
0, 5, 134, 0.749540, 1
0, 53, 4, 0.964072, 1
2014, 11, 19, 2014.856164, 1
1, 0, 1422658137748, 1.333333, 1
11, 1, 2, 11.428571, 3
14, 5, 5, 14.740741, 1
1, 0, 1442894939356, 1.333333, 1
22, 25, 0, 22.925926, 1
0, 4, 37, 0.712177, 21
0, 0, 205, 0.331179, 4
2, 15, 915, 2.888875, 1
0, 1, 1013, 0.499754, 1
0, 34, 16, 0.945783, 1
1, 0, 1425534564429, 1.333333, 1
0, 40, 1, 0.952756, 8
1, 0, 208, 1.331210, 1
0, 1, 503, 0.499504, 1
1, 6, 33, 1.776358, 3
1, 8, 16, 1.816327, 11
2014, 263, 1515, 2014.992481, 1
1, 0, 1426372184164, 1.333333, 1
0, 5, 41, 0.748538, 21
2014, 259, 515, 2014.992366, 1
0, 11, 8, 0.855072, 61
3, 3, 9, 3.656250, 20
1, 0, 30000087, 1.333333, 1
2014, 7, 22, 2014.798319, 1
2, 28, 1, 2.934066, 3
1, 1, 375, 1.499336, 1
5, 0, 21, 5.313433, 1
2014, 118, 50, 2014.983466, 1
1, 3, 42, 1.664122, 4
2015, 2, 21, 2015.592920, 1
0, 20, 0, 0.909091, 157
1, 0, 30000248, 1.333333, 1
0, 4, 130, 0.713666, 1
20140718, 1, 2, 20140718.428571, 1
0, 0, 34, 0.320755, 398
0, 6, 81, 0.777181, 1
1, 0, 1401, 1.333016, 1
6, 46, 2, 6.958763, 1
1, 0, 1434769269665, 1.333333, 1
0, 0, 544, 0.332518, 2
6, 60, 4, 6.968085, 1
2, 7, 36, 2.798942, 1
0, 8, 702, 0.818135, 1
0, 90, 43, 0.978484, 2
2014, 259, 1230, 2014.992366, 1
1, 2, 44, 1.596491, 8
0, 5, 76, 0.749196, 6
1, 0, 381, 1.332171, 1
0, 1, 20, 0.488372, 602
0, 7, 157, 0.799748, 3
2014, 263, 2130, 2014.992481, 1
3, 31, 2, 3.940299, 2
0, 61, 18, 0.968701, 1
6, 7, 1, 6.785714, 10
2014, 9, 14, 2014.831579, 1
2014, 106, 21, 2014.981637, 1
2, 0, 10, 2.294118, 207
0, 2, 101111, 0.599998, 1
17, 22, 0, 17.916667, 1
0, 91, 35, 0.978711, 1
1, 0, 30000263, 1.333333, 1
0, 4, 239, 0.713947, 1
0, 16, 5, 0.893130, 48
0, 1, 1064, 0.499765, 1
0, 6, 58, 0.776952, 2
0, 1, 634, 0.499607, 1
0, 2, 90, 0.598253, 8
0, 8, 199, 0.818017, 1
0, 0, 389, 0.332195, 2
1, 7, 891, 1.799955, 1
2014, 259, 215, 2014.992366, 1
2, 1, 48, 2.494949, 1
0, 1, 701, 0.499644, 1
2014, 101, 55, 2014.980763, 1
1, 4, 56, 1.712871, 1
2014, 264, 1245, 2014.992509, 1
0, 7, 123, 0.799679, 3
1, 0, 408, 1.332248, 1
0, 1, 191, 0.498701, 7
0, 7, 32, 0.798817, 11
7, 4, 4, 7.700000, 1
0, 13, 23, 0.874372, 4
0, 106, 0, 0.981481, 2
0, 51, 2, 0.962617, 4
6, 3, 12, 6.658537, 1
2, 4, 55, 2.712846, 1
0, 91, 94, 0.978719, 1
1, 31, 2, 1.940299, 1
1, 1, 63, 1.496124, 4
1, 0, 1059, 1.332914, 1
0, 2, 39, 0.596059, 62
999, 0, 0, 999.000000, 1
0, 8, 108, 0.817881, 2
0, 1, 9998, 0.499975, 1
0, 0, 282, 0.331765, 1
0, 1, 728, 0.499657, 1
0, 66, 78, 0.971004, 1
0, 92, 16, 0.978923, 1
6, 38, 1, 6.950413, 1
0, 0, 792, 0.332773, 1
1, 0, 39, 1.322314, 64
0, 23, 69, 0.922993, 1
0, 1, 218, 0.498861, 6
9000, 0, 1, 9000.142857, 3
0, 3, 47, 0.664384, 20
0, 9, 10, 0.830986, 263
3, 1, 23, 3.489796, 5
2014, 263, 1545, 2014.992481, 1
0, 7, 453, 0.799912, 1
5, 8, 0, 5.800000, 14
5, 2, 23, 5.593496, 1
1, 27, 7, 1.932836, 1
16, 0, 18, 16.310345, 1
1, 0, 20141020, 1.333333, 1
1, 0, 1102, 1.332931, 1
0, 18, 2, 0.902439, 60
0, 14, 32, 0.881944, 1
1, 0, 1435722357600, 1.333333, 1
0, 0, 383, 0.332177, 2
0, 1, 2015081717, 0.500000, 1
0, 1, 867, 0.499712, 1
2015, 8, 24, 2015.816901, 2
2014, 117, 10, 2014.983310, 1
5, 6, 24001, 5.777776, 3
1, 0, 66, 1.326733, 26
0, 1, 357, 0.499303, 2
1, 12, 34, 1.866171, 4
2014, 101, 3, 2014.980695, 1
0, 3, 202, 0.666121, 2
