major,minor,patch,linearized,count,avg_time,min_time,max_time
0,2,20,0.592593,262,17918271.576300,0.000000,123805702.000000
0,2,21,0.592920,252,16638392.127000,0.000000,124249514.000000
0,2,22,0.593220,218,17996292.206400,386.000000,134964458.000000
0,2,23,0.593496,201,18103058.338300,0.000000,97803041.000000
0,2,24,0.593750,177,17181061.175100,0.000000,97511238.000000
0,2,25,0.593985,169,18240823.307700,0.000000,97581971.000000
0,2,26,0.594203,156,19400322.807700,16484.000000,97996620.000000
0,2,27,0.594406,154,19188811.272700,0.000000,98004154.000000
0,2,28,0.594595,142,19788631.436600,165479.000000,103663235.000000
0,2,29,0.594771,128,18437505.718800,0.000000,103675268.000000
0,2,3,0.565217,6976,10794756.757000,0.000000,138598217.000000
0,2,30,0.594937,120,18218455.550000,17015.000000,91774222.000000
0,2,31,0.595092,112,17953335.892900,3937.000000,92042804.000000
0,2,4,0.571429,5125,11892341.436500,0.000000,136692474.000000
0,2,5,0.575758,3913,12818642.398900,0.000000,145767399.000000
0,2,6,0.578947,3096,13487170.131500,0.000000,129129809.000000
0,2,7,0.581395,2425,14003180.662300,0.000000,132448732.000000
0,2,8,0.583333,1935,14431615.416000,0.000000,127861188.000000
0,2,9,0.584906,1585,15407383.330000,0.000000,134578687.000000
0,20,0,0.909091,157,27988743.847100,0.000000,113249462.000000
0,21,0,0.913043,127,26517471.440900,0.000000,114541347.000000
0,22,0,0.916667,109,24927387.752300,0.000000,114965342.000000
0,3,0,0.600000,14728,11028425.024500,0.000000,145593169.000000
0,3,1,0.625000,8432,12225666.172900,0.000000,145702881.000000
0,3,10,0.657143,626,18315044.036700,0.000000,125783913.000000
0,3,11,0.657895,516,18717153.354700,0.000000,124268092.000000
0,3,12,0.658537,420,19942854.309500,0.000000,128862983.000000
0,3,13,0.659091,358,19686785.793300,0.000000,127162219.000000
0,3,14,0.659574,306,20561816.542500,0.000000,112512146.000000
0,3,15,0.660000,260,21007356.576900,0.000000,130919149.000000
0,3,16,0.660377,229,20974131.519700,0.000000,131513985.000000
0,3,17,0.660714,191,19591382.052400,0.000000,88002240.000000
0,3,18,0.661017,179,20539043.614500,0.000000,92383158.000000
0,3,19,0.661290,171,21490871.362600,0.000000,93434868.000000
0,3,2,0.636364,5632,13388705.080300,0.000000,128390254.000000
0,3,20,0.661538,154,22070213.714300,1372.000000,94744776.000000
0,3,21,0.661765,141,22051398.574500,0.000000,102548610.000000
0,3,22,0.661972,120,22136791.575000,0.000000,102571996.000000
0,3,23,0.662162,115,23695396.739100,0.000000,102813111.000000
0,3,24,0.662338,109,23517668.559600,0.000000,105880072.000000
0,3,25,0.662500,101,24305880.673300,140.000000,107412337.000000
0,3,3,0.642857,3876,14502786.757000,0.000000,126823582.000000
0,3,4,0.647059,2796,15312444.290400,0.000000,126921666.000000
